# nu      SYN SPN       SSC Sari Esin     Syn flux       IC flux     Total spectrum     Total spectrum with pp
  3.0364478e+15   4.1825952e-29   1.9943995e-34   2.5134410e-29   8.7563258e-35    2.4975642e-29      2.4973946e-29
  3.9274004e+15   3.5384679e-29   2.1729944e-34   2.0775092e-29   9.4480513e-35    2.0643882e-29      2.0656749e-29
  5.0797758e+15   2.9935373e-29   2.3675822e-34   1.7136933e-29   1.0154203e-34    1.7028724e-29      1.7037455e-29
  6.5702804e+15   2.5325270e-29   2.5795949e-34   1.4105339e-29   1.0871640e-34    1.4016298e-29      1.4019350e-29
  8.4981278e+15   2.1425132e-29   2.8105930e-34   1.1583467e-29   1.1596859e-34    1.1510372e-29      1.1508588e-29
  1.0991643e+16   1.8125622e-29   3.0622766e-34   9.4894893e-30   1.2323187e-34    9.4296356e-30      9.4289161e-30
  1.4216804e+16   1.5334243e-29   3.3364980e-34   7.7542883e-30   1.3042645e-34    7.7054086e-30      7.7050217e-30
  1.8388290e+16   1.2972741e-29   3.6352754e-34   6.3195079e-30   1.3746131e-34    6.2797032e-30      6.2795805e-30
  2.3783770e+16   1.0974915e-29   3.9608079e-34   5.1359007e-30   1.4423050e-34    5.1035834e-30      5.1037215e-30
  3.0762388e+16   9.2847581e-30   4.3154911e-34   4.1619310e-30   1.5060657e-34    4.1357756e-30      4.1358819e-30
  3.9788669e+16   7.8548882e-30   4.7019356e-34   3.3625948e-30   1.5644990e-34    3.3414972e-30      3.3415836e-30
  5.1463435e+16   6.6452210e-30   5.1229856e-34   2.7084245e-30   1.6161381e-34    2.6914665e-30      2.6914969e-30
  6.6563803e+16   5.6218447e-30   5.5817398e-34   2.1746425e-30   1.6594447e-34    2.1610624e-30      2.1610472e-30
  8.6094912e+16   4.7560702e-30   6.0815746e-34   1.7404436e-30   1.6928630e-34    1.7296110e-30      1.7296107e-30
  1.1135683e+17   4.0236267e-30   6.6261687e-34   1.3883888e-30   1.7149247e-34    1.3797834e-30      1.3797872e-30
  1.4403108e+17   3.4039807e-30   4.5054621e-34   1.1038909e-30   1.7243562e-34    1.0970846e-30      1.0970827e-30
  1.8629258e+17   2.8797614e-30   4.3856156e-34   8.7477648e-31   1.7201464e-34    8.6941778e-31      8.6941764e-31
  2.4095443e+17   2.2015079e-30   4.1958282e-34   6.9091235e-31   1.7016657e-34    6.8671388e-31      6.8671257e-31
  3.1165513e+17   1.6376458e-30   3.9604842e-34   5.4388824e-31   1.6687720e-34    5.4061574e-31      5.4061695e-31
  4.0310078e+17   1.2182032e-30   3.6981165e-34   4.2674673e-31   1.6218941e-34    4.2420995e-31      4.2420967e-31
  5.2137835e+17   9.0619041e-31   3.4226298e-34   3.3375233e-31   1.5620396e-34    3.3179738e-31      3.3179781e-31
  6.7436086e+17   6.7409204e-31   3.1442875e-34   2.6019433e-31   1.4907812e-34    2.5869723e-31      2.5869713e-31
  8.7223139e+17   5.0143996e-31   2.8705025e-34   2.0221895e-31   1.4101676e-34    2.0108030e-31      2.0108044e-31
  1.1281610e+18   3.7300845e-31   2.6064727e-34   1.5668670e-31   1.3225756e-34    1.5582717e-31      1.5582719e-31
